ConceptId	MapTarget
10674551000119103	J341
10674591000119108	J341
1067461000000109	T149
10674631000119108	J341
1067471000000102	T149
10674711000119105	J450
1067481000000100	T149
10674871000119105	J681
1067491000000103	T149
10674911000119108	J108
10674911000119108	H671A
10675001	#NC
1067501000000109	T149
1067511000000106	T149
1067521000000100	T149
1067531000000103	T149
10675391000119101	J459
1067541000000107	T149
10675431000119106	J450
10675471000119109	J450
1067551000000105	T149
10675551000119104	J450
10675591000119109	J450
1067561000000108	T149
10675631000119109	J450
10675671000119107	J450
1067571000000101	T149
10675711000119106	J450
10675751000119107	J459
1067581000000104	T149
10675871000119106	J450
1067591000000102	T149
10675911000119109	J450
10675991000119100	J450
1067601000000108	T149
10676031000119106	J450
10676071000119109	J459
1067611000000105	T149
10676111000119102	J450
10676151000119101	J450
10676191000119106	J459
1067621000000104	T149
10676231000119102	J450
1067631000000102	T149
10676351000119103	J459
10676391000119108	J450
1067641000000106	T149
10676431000119103	J450
1067651000000109	T149
10676511000119109	J450
10676551000119105	J450
10676591000119100	J450
1067661000000107	T149
10676631000119100	J450
10676671000119102	J450
1067671000000100	T149
10676711000119103	J459
1067681000000103	T149
10676831000119101	J9690
10676871000119103	L235
1067691000000101	T149
10676911000119100	L293
1067701000000101	T149
1067711000000104	T149
1067721000000105	T149
1067731000000107	T149
1067741000000103	T149
1067751000000100	T149
10677511000119107	L030
10677551000119108	R610
10677591000119103	R610
1067761000000102	T149
10677631000119103	R610
10677671000119100	R610
1067771000000109	T149
10677711000119101	J108
10677711000119101	G948A
10677751000119100	R222
10677791000119105	R222
1067781000000106	T149
10677831000119104	R222
10677871000119101	R222
1067791000000108	T149
10677951000119102	R223
1067801000000107	T149
10678071000119108	M8738
10678071000119108	L984
1067811000000109	T149
10678111000119101	L984
10678191000119105	M7980
1067821000000103	T149
1067831000000101	T149
1067841000000105	T149
10678431000119102	R224
10678471000119104	R224
1067851000000108	T149
10678511000119108	R224
10678591000119104	R224
1067861000000106	T149
10678631000119104	R224
10678671000119101	R224
1067871000000104	T149
10678711000119102	R224
10678751000119101	R224
1067881000000102	T149
10678831000119100	R223
1067891000000100	T149
10678911000119104	R223
10678951000119103	R223
10679007	A071
1067901000000104	T149
10679031000119101	R223
